pli-tv-pvr1.1:0.1	Parivāra			
pli-tv-pvr1.1:0.2				
pli-tv-pvr1.1:0.3				
pli-tv-pvr1.1:0.4				
pli-tv-pvr1.1:0.5				
pli-tv-pvr1.1:1.1	_Praise to the Lord			
pli-tv-pvr1.1:2.1	Where was that which is the first offence involving Defeat laid down by that Lord who knows	pts-vp-en6.1	pts-cs1.1.1.1	pm-bu-pj1
pli-tv-pvr1.1:2.2	Is there there a laying down			
pli-tv-pvr1.1:2.3	a laying down (that holds good) everywhere			
pli-tv-pvr1.1:2.4	a laying down that is shared			
pli-tv-pvr1.1:2.5	a laying down for one (Order only)			
pli-tv-pvr1.1:2.6	plunged into which			
pli-tv-pvr1.1:2.7	by which recital does one come to the recital;			
pli-tv-pvr1.1:2.8	of the four fallings way which falling away;			
pli-tv-pvr1.1:2.9	of the seven classes of offence which class of offence;			
pli-tv-pvr1.1:2.10	of the six origins of offences by how many origins does (a monk) originate (the offence);			
pli-tv-pvr1.1:2.11	of the four legal questions which legal question;			
pli-tv-pvr1.1:2.12	of the seven (ways for) the deciding (of a legal question) by how many decidings is it stopped;			
pli-tv-pvr1.1:2.13	what there is Discipline			
pli-tv-pvr1.1:2.14	what there is the Pātimokkha	pts-vp-en6.2		
pli-tv-pvr1.1:2.15	what is falling away			
pli-tv-pvr1.1:2.16	what is success			
pli-tv-pvr1.1:2.17	what is practice?			
pli-tv-pvr1.1:2.18	Because of how many reasons was the first offence involving Defeat laid down by the Lord?			
pli-tv-pvr1.1:2.19	Who train themselves?			
pli-tv-pvr1.1:2.20	Who have trained themselves in the training?			
pli-tv-pvr1.1:2.21	In what state?			
pli-tv-pvr1.1:2.22	Who know by heart?			
pli-tv-pvr1.1:2.23	Whose is the Utterance?			
pli-tv-pvr1.1:2.24	By whom has it been conveyed?			
pli-tv-pvr1.1:3.1	“Where was that which is the first offence involving Defeat laid down by that Lord who knows			
pli-tv-pvr1.1:3.2	It was laid down in Vesālī.			
pli-tv-pvr1.1:3.3	“Concerning whom?”			
pli-tv-pvr1.1:3.4	Concerning Sudinna the Kalandaka.			
pli-tv-pvr1.1:3.5	“On what subject?”			
pli-tv-pvr1.1:3.6	On the subject of Sudinna the Kalandaka’s indulging in sexual intercourse with his former wife.			
pli-tv-pvr1.1:3.7	“Is there there a laying down			
pli-tv-pvr1.1:3.8	There is one laying down			
pli-tv-pvr1.1:3.9	for it there is no laying down that has not (yet) occurred.	pts-vp-en6.3		
pli-tv-pvr1.1:3.10	“A laying down (that holds good) everywhere			
pli-tv-pvr1.1:3.11	A laying down (that holds good) everywhere.			
pli-tv-pvr1.1:3.12	“A laying down that is shared			
pli-tv-pvr1.1:3.13	A laying down that is shared.			
pli-tv-pvr1.1:3.14	“A laying down for one (Order)			
pli-tv-pvr1.1:3.15	A laying down for both (Orders).			
pli-tv-pvr1.1:3.16	“Plunged into which			
pli-tv-pvr1.1:3.17	Plunged into the source			
pli-tv-pvr1.1:3.18	“By which recital does one come to the recital?”			
pli-tv-pvr1.1:3.19	By the second recital one comes to the recital.			
pli-tv-pvr1.1:3.20	“Of the four fallings away which falling away?”			
pli-tv-pvr1.1:3.21	The falling away in moral habit.			
pli-tv-pvr1.1:3.22	“Of the seven classes of offence which class of offence?”			
pli-tv-pvr1.1:3.23	The Defeat-class of offence.			
pli-tv-pvr1.1:3.24	“Of the six origins of offences by how many origins does (a monk) originate (the offence)?”			
pli-tv-pvr1.1:3.25	He originates it by one origin—	pts-vp-en6.4		
pli-tv-pvr1.1:3.26	he originates it by body and by mind			
pli-tv-pvr1.1:3.27	“Of the four legal questions which legal question?”			
pli-tv-pvr1.1:3.28	The legal question concerning offences.			
pli-tv-pvr1.1:3.29	“Of the seven decidings (of a legal question) by how many decidings is it stopped?”			
pli-tv-pvr1.1:3.30	It is stopped by two decidings:			
pli-tv-pvr1.1:3.31	by a verdict in the presence of			
pli-tv-pvr1.1:3.32	“What there is Discipline			
pli-tv-pvr1.1:3.33	A laying down is Discipline			
pli-tv-pvr1.1:3.34	“What there is the Pātimokkha			
pli-tv-pvr1.1:3.35	A laying down is the Pātimokkha			
pli-tv-pvr1.1:3.36	“What is falling away?”			
pli-tv-pvr1.1:3.37	Lack of self-control is falling away.			
pli-tv-pvr1.1:3.38	“What is success?”			
pli-tv-pvr1.1:3.39	Self-control is success.			
pli-tv-pvr1.1:3.40	“What is the practice?”			
pli-tv-pvr1.1:3.41	Saying			
pli-tv-pvr1.1:3.42	“Because of how many reasons was the first offence involving Defeat laid down by the Lord?”			
pli-tv-pvr1.1:3.43	Because of ten reasons was the first offence involving Defeat laid down by the Lord:			
pli-tv-pvr1.1:3.44	for the excellence of the Order			
pli-tv-pvr1.1:3.45	“Who train themselves?”	pts-vp-en6.5		
pli-tv-pvr1.1:3.46	Learners and ordinary people who are morally good.			
pli-tv-pvr1.1:3.47	“Who have trained themselves in the training?”			
pli-tv-pvr1.1:3.48	Arahants have trained themselves in the training.			
pli-tv-pvr1.1:3.49	“In what state?”			
pli-tv-pvr1.1:3.50	The state of desiring the training.			
pli-tv-pvr1.1:3.51	“Who know by heart?”			
pli-tv-pvr1.1:3.52	Those who know by heart the procedure of these.			
pli-tv-pvr1.1:3.53	“Whose is the Utterance?”			
pli-tv-pvr1.1:3.54	It is the Utterance of the Lord			
pli-tv-pvr1.1:3.55	“By whom has it been conveyed?”			
pli-tv-pvr1.1:3.56	It has been conveyed by a succession (of teachers):			
pli-tv-pvr1.1:4.1	Upāli			
pli-tv-pvr1.1:4.2	Soṇaka			
pli-tv-pvr1.1:4.3	With Moggali’s son as fifth—			
pli-tv-pvr1.1:4.4	these in the glorious (is)land of Jambusiri.			
pli-tv-pvr1.1:5.1	Then Mahinda			
pli-tv-pvr1.1:5.2	similarly Sambala			
pli-tv-pvr1.1:5.3	and the learned Bhaddanāma—			
pli-tv-pvr1.1:6.1	These great beings			
pli-tv-pvr1.1:6.2	coming here from India			
pli-tv-pvr1.1:6.3	Taught the Vinaya-piṭaka in Tambapaṇṇi.			
pli-tv-pvr1.1:6.4				
pli-tv-pvr1.1:7.1	They also taught the five Nikāyas			
pli-tv-pvr1.1:7.2	and the seven (Abhidhamma) treatises.			
pli-tv-pvr1.1:7.3	Then the wise Ariṭṭha			
pli-tv-pvr1.1:7.4	and the learned Tissadatta			
pli-tv-pvr1.1:8.1	The skilled Kālasumana			
pli-tv-pvr1.1:8.2	and the Elder named Dīgha			
pli-tv-pvr1.1:8.3	and the learned Dīghasumana			
pli-tv-pvr1.1:9.1	And another Kālasumana			
pli-tv-pvr1.1:9.2	the Elder Nāga			
pli-tv-pvr1.1:9.3	And the wise Elder Tissa	pts-vp-en6.6		
pli-tv-pvr1.1:9.4	and the learned Elder Deva			
pli-tv-pvr1.1:10.1	And another wise Sumana			
pli-tv-pvr1.1:10.2	proficient in the Vinaya			
pli-tv-pvr1.1:10.3	Cūlanāga of great learning			
pli-tv-pvr1.1:10.4	unassailable as an elephant			
pli-tv-pvr1.1:11.1	The Elder named Dhammapālita			
pli-tv-pvr1.1:11.2	and Rohaṇa revered by the virtuous			
pli-tv-pvr1.1:11.3	His pupil named Khema of great wisdom and learned in the Three Piṭakas			
pli-tv-pvr1.1:11.4				
pli-tv-pvr1.1:12.1	Who in his wisdom shone with great splendour in the island like the king of stars			
pli-tv-pvr1.1:12.2				
pli-tv-pvr1.1:12.3	Upatissa the wise			
pli-tv-pvr1.1:12.4	and Phussadeva the great orator			
pli-tv-pvr1.1:13.1	And another wise Sumana			
pli-tv-pvr1.1:13.2	he of great learning named Puppha			
pli-tv-pvr1.1:13.3	The great orator Mahāsīva			
pli-tv-pvr1.1:13.4	skilful in all the contents of the Piṭaka			
pli-tv-pvr1.1:14.1	And another wise Upāli			
pli-tv-pvr1.1:14.2	proficient in the Vinaya			
pli-tv-pvr1.1:14.3	Mahānāga of great wisdom			
pli-tv-pvr1.1:14.4	skilled in the tradition of the True _Dhamma_			
pli-tv-pvr1.1:15.1	And again the wise Abhaya			
pli-tv-pvr1.1:15.2	skilled in all the contents of the Piṭaka			
pli-tv-pvr1.1:15.3	And the wise Elder Tissa			
pli-tv-pvr1.1:15.4	proficient in the Vinaya			
