"pli-tv-bi-pm:9.0","pli-tv-bu-pm:9.0"
"pli-tv-bi-pm:10.0","pli-tv-bu-pm:10.0"
"pli-tv-bi-pm:11.0","pli-tv-bu-pm:11.0"
"pli-tv-bi-pm:12.0","pli-tv-bu-pm:12.0"
"pli-tv-bi-pm:13.0","pli-tv-bi-vb-pj5:0.4"
"pli-tv-bi-pm:14.0","pli-tv-bi-vb-pj6:0.4"
"pli-tv-bi-pm:15.0","pli-tv-bi-vb-pj7:0.4"
"pli-tv-bi-pm:16.0","pli-tv-bi-vb-pj8:0.4"
"pli-tv-bi-pm:19.0","pli-tv-bi-vb-ss1:0.4"
"pli-tv-bi-pm:20.0","pli-tv-bi-vb-ss2:0.4"
"pli-tv-bi-pm:21.0","pli-tv-bi-vb-ss3:0.4"
"pli-tv-bi-pm:22.0","pli-tv-bi-vb-ss4:0.4"
"pli-tv-bi-pm:23.0","pli-tv-bi-vb-ss5:0.4"
"pli-tv-bi-pm:24.0","pli-tv-bi-vb-ss6:0.4"
"pli-tv-bi-pm:25.0","pli-tv-bu-pm:19.0"
"pli-tv-bi-pm:26.0","pli-tv-bu-pm:22.0"
"pli-tv-bi-pm:27.0","pli-tv-bu-pm:23.0"
"pli-tv-bi-pm:28.0","pli-tv-bi-vb-ss10:0.4"
"pli-tv-bi-pm:29.0","pli-tv-bi-vb-ss11:0.4"
"pli-tv-bi-pm:30.0","pli-tv-bi-vb-ss12:0.4"
"pli-tv-bi-pm:31.0","pli-tv-bi-vb-ss13:0.4"
"pli-tv-bi-pm:32.0","pli-tv-bu-pm:24.0"
"pli-tv-bi-pm:33.0","pli-tv-bu-pm:25.0"
"pli-tv-bi-pm:34.0","pli-tv-bu-pm:26.0"
"pli-tv-bi-pm:35.0","pli-tv-bu-pm:27.0"
"pli-tv-bi-pm:38.0.2","pli-tv-bi-vb-np1:0.5"
"pli-tv-bi-pm:39.0","pli-tv-bi-vb-np2:0.5"
"pli-tv-bi-pm:40.0","pli-tv-bi-vb-np3:0.5"
"pli-tv-bi-pm:41.0","pli-tv-bi-vb-np4:0.5"
"pli-tv-bi-pm:42.0","pli-tv-bi-vb-np5:0.5"
"pli-tv-bi-pm:43.0","pli-tv-bi-vb-np6:0.5"
"pli-tv-bi-pm:44.0","pli-tv-bi-vb-np7:0.5"
"pli-tv-bi-pm:45.0","pli-tv-bi-vb-np8:0.5"
"pli-tv-bi-pm:46.0","pli-tv-bi-vb-np9:0.5"
"pli-tv-bi-pm:47.0","pli-tv-bi-vb-np10:0.5"
"pli-tv-bi-pm:48.0.2","pli-tv-bi-vb-np11:0.5"
"pli-tv-bi-pm:49.0","pli-tv-bi-vb-np12:0.5"
"pli-tv-bi-pm:50.0","pli-tv-bu-pm:34.0.2"
"pli-tv-bi-pm:51.0","pli-tv-bu-pm:35.0"
"pli-tv-bi-pm:52.0","pli-tv-bu-pm:36.0"
"pli-tv-bi-pm:53.0","pli-tv-bu-pm:39.0"
"pli-tv-bi-pm:54.0","pli-tv-bu-pm:40.0"
"pli-tv-bi-pm:55.0","pli-tv-bu-pm:41.0"
"pli-tv-bi-pm:56.0","pli-tv-bu-pm:42.0"
"pli-tv-bi-pm:57.0","pli-tv-bu-pm:43.0"
"pli-tv-bi-pm:58.0.2","pli-tv-bu-pm:51.0"
"pli-tv-bi-pm:59.0","pli-tv-bu-pm:52.0"
"pli-tv-bi-pm:60.0","pli-tv-bu-pm:53.0"
"pli-tv-bi-pm:61.0","pli-tv-bu-pm:55.0"
"pli-tv-bi-pm:62.0","pli-tv-bu-pm:56.0"
"pli-tv-bi-pm:63.0","pli-tv-bu-pm:58.0"
"pli-tv-bi-pm:64.0","pli-tv-bu-pm:59.0"
"pli-tv-bi-pm:65.0","pli-tv-bu-pm:60.0"
"pli-tv-bi-pm:66.0","pli-tv-bu-pm:61.0"
"pli-tv-bi-pm:67.0","pli-tv-bu-pm:63.0"
"pli-tv-bi-pm:70.0.2","pli-tv-bi-vb-pc1:0.5"
"pli-tv-bi-pm:71.0","pli-tv-bi-vb-pc2:0.5"
"pli-tv-bi-pm:72.0","pli-tv-bi-vb-pc3:0.5"
"pli-tv-bi-pm:73.0","pli-tv-bi-vb-pc4:0.5"
"pli-tv-bi-pm:74.0","pli-tv-bi-vb-pc5:0.5"
"pli-tv-bi-pm:75.0","pli-tv-bi-vb-pc6:0.5"
"pli-tv-bi-pm:76.0","pli-tv-bi-vb-pc7:0.5"
"pli-tv-bi-pm:77.0","pli-tv-bi-vb-pc8:0.5"
"pli-tv-bi-pm:78.0","pli-tv-bi-vb-pc9:0.5"
"pli-tv-bi-pm:79.0","pli-tv-bi-vb-pc10:0.5"
"pli-tv-bi-pm:80.0.2","pli-tv-bi-vb-pc11:0.5"
"pli-tv-bi-pm:81.0","pli-tv-bi-vb-pc12:0.5"
"pli-tv-bi-pm:82.0","pli-tv-bi-vb-pc13:0.5"
"pli-tv-bi-pm:83.0","pli-tv-bi-vb-pc14:0.5"
"pli-tv-bi-pm:84.0","pli-tv-bi-vb-pc15:0.5"
"pli-tv-bi-pm:85.0","pli-tv-bi-vb-pc16:0.5"
"pli-tv-bi-pm:86.0","pli-tv-bi-vb-pc17:0.5"
"pli-tv-bi-pm:87.0","pli-tv-bi-vb-pc18:0.5"
"pli-tv-bi-pm:88.0","pli-tv-bi-vb-pc19:0.5"
"pli-tv-bi-pm:89.0","pli-tv-bi-vb-pc20:0.5"
"pli-tv-bi-pm:90.0.2","pli-tv-bi-vb-pc21:0.5"
"pli-tv-bi-pm:91.0","pli-tv-bi-vb-pc22:0.5"
"pli-tv-bi-pm:92.0","pli-tv-bi-vb-pc23:0.5"
"pli-tv-bi-pm:93.0","pli-tv-bi-vb-pc24:0.5"
"pli-tv-bi-pm:94.0","pli-tv-bi-vb-pc25:0.5"
"pli-tv-bi-pm:95.0","pli-tv-bi-vb-pc26:0.5"
"pli-tv-bi-pm:96.0","pli-tv-bi-vb-pc27:0.5"
"pli-tv-bi-pm:97.0","pli-tv-bi-vb-pc28:0.5"
"pli-tv-bi-pm:98.0","pli-tv-bi-vb-pc29:0.5"
"pli-tv-bi-pm:99.0","pli-tv-bi-vb-pc30:0.5"
"pli-tv-bi-pm:100.0.2","pli-tv-bi-vb-pc31:0.5"
"pli-tv-bi-pm:101.0","pli-tv-bi-vb-pc32:0.5"
"pli-tv-bi-pm:102.0","pli-tv-bi-vb-pc33:0.5"
"pli-tv-bi-pm:103.0","pli-tv-bi-vb-pc34:0.5"
"pli-tv-bi-pm:104.0","pli-tv-bi-vb-pc35:0.5"
"pli-tv-bi-pm:105.0","pli-tv-bi-vb-pc36:0.5"
"pli-tv-bi-pm:106.0","pli-tv-bi-vb-pc37:0.5"
"pli-tv-bi-pm:107.0","pli-tv-bi-vb-pc38:0.5"
"pli-tv-bi-pm:108.0","pli-tv-bi-vb-pc39:0.5"
"pli-tv-bi-pm:109.0","pli-tv-bi-vb-pc40:0.5"
"pli-tv-bi-pm:110.0.2","pli-tv-bi-vb-pc41:0.5"
"pli-tv-bi-pm:111.0","pli-tv-bi-vb-pc42:0.5"
"pli-tv-bi-pm:112.0","pli-tv-bi-vb-pc43:0.5"
"pli-tv-bi-pm:113.0","pli-tv-bi-vb-pc44:0.5"
"pli-tv-bi-pm:114.0","pli-tv-bi-vb-pc45:0.5"
"pli-tv-bi-pm:115.0","pli-tv-bi-vb-pc46:0.5"
"pli-tv-bi-pm:116.0","pli-tv-bi-vb-pc47:0.5"
"pli-tv-bi-pm:117.0","pli-tv-bi-vb-pc48:0.5"
"pli-tv-bi-pm:118.0","pli-tv-bi-vb-pc49:0.5"
"pli-tv-bi-pm:119.0","pli-tv-bi-vb-pc50:0.5"
"pli-tv-bi-pm:120.0.2","pli-tv-bi-vb-pc51:0.5"
"pli-tv-bi-pm:121.0","pli-tv-bi-vb-pc52:0.5"
"pli-tv-bi-pm:122.0","pli-tv-bi-vb-pc53:0.5"
"pli-tv-bi-pm:123.0","pli-tv-bi-vb-pc54:0.5"
"pli-tv-bi-pm:124.0","pli-tv-bi-vb-pc55:0.5"
"pli-tv-bi-pm:125.0","pli-tv-bi-vb-pc56:0.5"
"pli-tv-bi-pm:126.0","pli-tv-bi-vb-pc57:0.5"
"pli-tv-bi-pm:127.0","pli-tv-bi-vb-pc58:0.5"
"pli-tv-bi-pm:128.0","pli-tv-bi-vb-pc59:0.5"
"pli-tv-bi-pm:129.0","pli-tv-bi-vb-pc60:0.5"
"pli-tv-bi-pm:130.0.2","pli-tv-bi-vb-pc61:0.5"
"pli-tv-bi-pm:131.0","pli-tv-bi-vb-pc62:0.5"
"pli-tv-bi-pm:132.0","pli-tv-bi-vb-pc63:0.5"
"pli-tv-bi-pm:133.0","pli-tv-bi-vb-pc64:0.5"
"pli-tv-bi-pm:134.0","pli-tv-bi-vb-pc65:0.5"
"pli-tv-bi-pm:135.0","pli-tv-bi-vb-pc66:0.5"
"pli-tv-bi-pm:136.0","pli-tv-bi-vb-pc67:0.5"
"pli-tv-bi-pm:137.0","pli-tv-bi-vb-pc68:0.5"
"pli-tv-bi-pm:138.0","pli-tv-bi-vb-pc69:0.5"
"pli-tv-bi-pm:139.0","pli-tv-bi-vb-pc70:0.5"
"pli-tv-bi-pm:140.0.2","pli-tv-bi-vb-pc71:0.5"
"pli-tv-bi-pm:141.0","pli-tv-bi-vb-pc72:0.5"
"pli-tv-bi-pm:142.0","pli-tv-bi-vb-pc73:0.5"
"pli-tv-bi-pm:143.0","pli-tv-bi-vb-pc74:0.5"
"pli-tv-bi-pm:144.0","pli-tv-bi-vb-pc75:0.5"
