"pli-tv-bu-pm:9.0","pli-tv-bu-vb-pj1:0.4"
"pli-tv-bu-pm:10.0","pli-tv-bu-vb-pj2:0.4"
"pli-tv-bu-pm:11.0","pli-tv-bu-vb-pj3:0.4"
"pli-tv-bu-pm:12.0","pli-tv-bu-vb-pj4:0.4"
"pli-tv-bu-pm:15.0","pli-tv-bu-vb-ss1:0.4"
"pli-tv-bu-pm:16.0","pli-tv-bu-vb-ss2:0.4"
"pli-tv-bu-pm:17.0","pli-tv-bu-vb-ss3:0.4"
"pli-tv-bu-pm:18.0","pli-tv-bu-vb-ss4:0.4"
"pli-tv-bu-pm:19.0","pli-tv-bu-vb-ss5:0.4"
"pli-tv-bu-pm:20.0","pli-tv-bu-vb-ss6:0.4"
"pli-tv-bu-pm:21.0","pli-tv-bu-vb-ss7:0.4"
"pli-tv-bu-pm:22.0","pli-tv-bu-vb-ss8:0.4"
"pli-tv-bu-pm:23.0","pli-tv-bu-vb-ss9:0.4"
"pli-tv-bu-pm:24.0","pli-tv-bu-vb-ss10:0.4"
"pli-tv-bu-pm:25.0","pli-tv-bu-vb-ss11:0.4"
"pli-tv-bu-pm:26.0","pli-tv-bu-vb-ss12:0.4"
"pli-tv-bu-pm:27.0","pli-tv-bu-vb-ss13:0.4"
"pli-tv-bu-pm:30.0","pli-tv-bu-vb-ay1:0.4"
"pli-tv-bu-pm:31.0","pli-tv-bu-vb-ay2:0.4"
"pli-tv-bu-pm:34.0.2","pli-tv-bu-vb-np1:0.5"
"pli-tv-bu-pm:35.0","pli-tv-bu-vb-np2:0.5"
"pli-tv-bu-pm:36.0","pli-tv-bu-vb-np3:0.5"
"pli-tv-bu-pm:37.0","pli-tv-bu-vb-np4:0.5"
"pli-tv-bu-pm:38.0","pli-tv-bu-vb-np5:0.5"
"pli-tv-bu-pm:39.0","pli-tv-bu-vb-np6:0.5"
"pli-tv-bu-pm:40.0","pli-tv-bu-vb-np7:0.5"
"pli-tv-bu-pm:41.0","pli-tv-bu-vb-np8:0.5"
"pli-tv-bu-pm:42.0","pli-tv-bu-vb-np9:0.5"
"pli-tv-bu-pm:43.0","pli-tv-bu-vb-np10:0.5"
"pli-tv-bu-pm:44.0.2","pli-tv-bu-vb-np11:0.5"
"pli-tv-bu-pm:45.0","pli-tv-bu-vb-np12:0.5"
"pli-tv-bu-pm:46.0","pli-tv-bu-vb-np13:0.5"
"pli-tv-bu-pm:47.0","pli-tv-bu-vb-np14:0.5"
"pli-tv-bu-pm:48.0","pli-tv-bu-vb-np15:0.5"
"pli-tv-bu-pm:49.0","pli-tv-bu-vb-np16:0.5"
"pli-tv-bu-pm:50.0","pli-tv-bu-vb-np17:0.5"
