"pli-tv-bi-vb-pj1","1. The training rule on sexual intercourse"
"pli-tv-bi-vb-pj2","2. The training rule on stealing"
"pli-tv-bi-vb-pj3","3. The training rule on killing a human being"
"pli-tv-bi-vb-pj4","4. The training rule on falsely claiming a superhuman quality"
"pli-tv-bi-vb-ss7","7. Matchmaking"
"pli-tv-bi-vb-ss8","8. Making a groundless accusation out of anger"
"pli-tv-bi-vb-ss9","9. Making a groundless accusation out of anger, using a pretext"
"pli-tv-bi-vb-ss14","14. Causing a schism in the Sangha"
"pli-tv-bi-vb-ss15","15. Siding with a schismatic"
"pli-tv-bi-vb-ss16","16. Being difficult to correct"
"pli-tv-bi-vb-ss17","17. Being a corrupter of families"
"pli-tv-bi-vb-np13","13. The training rule on keeping extra robe-cloth beyond ten days"
"pli-tv-bi-vb-np14","14. Staying apart from one’s robes"
"pli-tv-bi-vb-np15","15. Keeping extra robe-cloth beyond a month"
"pli-tv-bi-vb-np16","16. Asking an unrelated person for a robe"
"pli-tv-bi-vb-np17","17. Accepting too many robes"
"pli-tv-bi-vb-np18","18. Requesting a fine robe from a fund"
"pli-tv-bi-vb-np19","19. Requesting a fine robe from a combined fund"
"pli-tv-bi-vb-np20","20. Excessive prompting to get a robe"
"pli-tv-bi-vb-np21","21. Becoming the owner of money"
"pli-tv-bi-vb-np22","22. Trading with money"
"pli-tv-bi-vb-np23","23. Bartering"
"pli-tv-bi-vb-np24","24. Exchanging an almsbowl with fewer than five mends"
"pli-tv-bi-vb-np25","25. Storing the five tonics too long"
"pli-tv-bi-vb-np26","26. Taking back robe-cloth in anger"
"pli-tv-bi-vb-np27","27. Asking for thread"
"pli-tv-bi-vb-np28","28. Bribing weavers"
"pli-tv-bi-vb-np29","29. Storing haste-cloth too long"
"pli-tv-bi-vb-np30","30. Diverting an offering intended for the Sangha"
"pli-tv-bi-vb-pc91","91. Getting a massage from a trainee nun"
"pli-tv-bi-vb-pc92","92. Getting a massage from a novice nun"
"pli-tv-bi-vb-pc93","93. Getting a massage from a female householder"
"pli-tv-bi-vb-pc97","97. Lying"
"pli-tv-bi-vb-pc98","98. Abusive speech"
"pli-tv-bi-vb-pc99","99. Malicious talebearing"
"pli-tv-bi-vb-pc100","100. Instructing a lay person to memorize the Teaching"
"pli-tv-bi-vb-pc101","101. Lying down with one not fully ordained"
"pli-tv-bi-vb-pc102","102. Lying down with a man"
"pli-tv-bi-vb-pc103","103. Teaching a man alone"
"pli-tv-bi-vb-pc104","104. Truthfully announcing a superhuman quality"
"pli-tv-bi-vb-pc105","105. Announcing a nun’s grave offense"
"pli-tv-bi-vb-pc106","106. Digging the earth"
"pli-tv-bi-vb-pc107","107. Destroying plants"
"pli-tv-bi-vb-pc108","108. Speaking evasively"
"pli-tv-bi-vb-pc109","109. Complaining"
"pli-tv-bi-vb-pc110","110. Leaving furniture outside"
"pli-tv-bi-vb-pc111","111. Not putting away bedding"
"pli-tv-bi-vb-pc112","112. Encroaching on a nun"
"pli-tv-bi-vb-pc113","113. Evicting a nun"
"pli-tv-bi-vb-pc114","114. Sitting down on an upper story"
"pli-tv-bi-vb-pc115","115. Applying excessive materials to a large dwelling"
"pli-tv-bi-vb-pc116","116. Pouring water with living beings in it"
"pli-tv-bi-vb-pc117","117. Eating excessively at a public guesthouse"
"pli-tv-bi-vb-pc118","118. Eating in a group"
"pli-tv-bi-vb-pc119","119. Accepting more than three bowlfuls"
"pli-tv-bi-vb-pc120","120. Eating at the wrong time"
"pli-tv-bi-vb-pc121","121. Eating stored food"
"pli-tv-bi-vb-pc122","122. Eating ungiven food"
"pli-tv-bi-vb-pc123","123. Dismissing a nun during almsround"
"pli-tv-bi-vb-pc124","124. Intruding on a lustful couple"
"pli-tv-bi-vb-pc125","125. Sitting with a man in a concealed place"
"pli-tv-bi-vb-pc126","126. Sitting alone with a man"
"pli-tv-bi-vb-pc127","127. Visiting families before a meal"
"pli-tv-bi-vb-pc128","128. Accepting an invitation of more than four months"
"pli-tv-bi-vb-pc129","129. Going to see a mobilized army"
"pli-tv-bi-vb-pc130","130. Staying more than three days with an army"
"pli-tv-bi-vb-pc131","131. Seeing an army in action"
"pli-tv-bi-vb-pc132","132. Drinking alcohol"
"pli-tv-bi-vb-pc133","133. Tickling"
"pli-tv-bi-vb-pc134","134. Playing in water"
"pli-tv-bi-vb-pc135","135. Disrespect"
"pli-tv-bi-vb-pc136","136. Scaring a nun"
"pli-tv-bi-vb-pc137","137. Lighting a fire"
"pli-tv-bi-vb-pc138","138. Bathing too often"
"pli-tv-bi-vb-pc139","139. Not making stains on a new robe"
"pli-tv-bi-vb-pc140","140. Using assigned property that has not been relinquished"
"pli-tv-bi-vb-pc141","141. Hiding a robe"
"pli-tv-bi-vb-pc142","142. Intentionally killing a living being"
"pli-tv-bi-vb-pc143","143. Using water with living beings in it"
"pli-tv-bi-vb-pc144","144. Reopening a settled legal issue"
"pli-tv-bi-vb-pc145","145. Traveling with thieves"
"pli-tv-bi-vb-pc146","146. Not giving up a bad view"
"pli-tv-bi-vb-pc147","147. Living with an ejected nun"
"pli-tv-bi-vb-pc148","148. Supporting a novice nun with a bad view"
"pli-tv-bi-vb-pc149","149. Not accepting legitimate correction"
"pli-tv-bi-vb-pc150","150. Disparaging the training rules"
"pli-tv-bi-vb-pc151","151. Deception"
"pli-tv-bi-vb-pc152","152. Hitting in anger"
"pli-tv-bi-vb-pc153","153. Raising a hand in anger"
"pli-tv-bi-vb-pc154","154. Making a groundless accusation"
"pli-tv-bi-vb-pc155","155. Intentionally making a nun anxious"
"pli-tv-bi-vb-pc156","156. Eavesdropping"
"pli-tv-bi-vb-pc157","157. Criticizing a legitimate legal procedure"
"pli-tv-bi-vb-pc158","158. Leaving without giving consent"
"pli-tv-bi-vb-pc159","159. Criticizing a robe distribution"
"pli-tv-bi-vb-pc160","160. Diverting gains intended for the Sangha"
"pli-tv-bi-vb-pc161","161. Picking up precious things"
"pli-tv-bi-vb-pc162","162. Making an inappropriate needle case"
"pli-tv-bi-vb-pc163","163. Making an inappropriate bed or bench"
"pli-tv-bi-vb-pc164","164. Making an upholstered bed or bench"
"pli-tv-bi-vb-pc165","165. Making an oversize itch cloth"
"pli-tv-bi-vb-pc166","166. Making an oversize robe"
"pli-tv-bi-vb-pd2","2. Asking for oil"
"pli-tv-bi-vb-pd3","3. Asking for honey"
"pli-tv-bi-vb-pd4","4. Asking for syrup"
