"pli-tv-bu-vb","The Monks' Rules and Their Analysis"
"pli-tv-bi-vb","The Nuns' Rules and Their Analysis"
"pli-tv-bu-pm","The Monks' Rules"
"pli-tv-bi-pm","The Nuns' Rules"
"pli-tv-kd","The Chapters"
"pli-tv-bu-vb-np","Relinquishment with Confession"
"pli-tv-bu-vb-sk","Rules of Training"
"pli-tv-bu-vb-as","The Settling of Legal Issues"
"pli-tv-bi-vb-np","Relinquishment with Confession"
"pli-tv-bi-vb-sk","Rules of Training"
"pli-tv-bi-vb-as","The Settling of Legal Issues"
"pli-tv-bi-vb-pj1-4","Rules in common with the monks"
"pli-tv-bi-vb-pj5","5. The training rule on physical contact with a man"
"pli-tv-bi-vb-pj6","6. The training rule on concealing an expulsion offense"
"pli-tv-bi-vb-pj7","7. The training rule on siding with an ejected monk"
"pli-tv-bi-vb-pj8","8. The training rule on behaving inappropriately in eight ways"
"pli-tv-bi-vb-ss1","1. The training rule on taking legal action"
"pli-tv-bi-vb-ss2","2. Ordaining a criminal"
"pli-tv-bi-vb-ss3","3. Being alone"
"pli-tv-bi-vb-ss4","4. Readmitting an ejected nun"
"pli-tv-bi-vb-ss5","5. Receiving food with lust"
"pli-tv-bi-vb-ss6","6. Encouraging a nun to receive food from a man with lust"
"pli-tv-bi-vb-ss10","10. Renouncing the training in anger"
"pli-tv-bi-vb-ss11","11. Accusing nuns of acting from bias"
"pli-tv-bi-vb-ss12","12. Inappropriate socializing"
"pli-tv-bi-vb-ss13","13. Encouraging inappropriate socializing"
"pli-tv-bi-vb-np1","1. The training rule on collecting almsbowls"
"pli-tv-bi-vb-np2","2. Distributing out-of-season robe-cloth"
"pli-tv-bi-vb-np3","3. Taking back a traded robe"
"pli-tv-bi-vb-np4","4. Asking for something else"
"pli-tv-bi-vb-np5","5. Exchanging for something else"
"pli-tv-bi-vb-np6","6. Exchanging designated Sangha property"
"pli-tv-bi-vb-np7","7. Exchanging designated Sangha property that was asked for"
"pli-tv-bi-vb-np8","8. Exchanging designated collective property"
"pli-tv-bi-vb-np9","9. Exchanging designated collective property that was asked for"
"pli-tv-bi-vb-np10","10. Exchanging designated personal property that was asked for"
"pli-tv-bi-vb-np11","11. Getting an expensive heavy cloak in exchange"
"pli-tv-bi-vb-np12","12. Getting an expensive light cloak in exchange"
"pli-tv-bi-vb-pc1","1. The training rule on eating garlic"
"pli-tv-bi-vb-pc2","2. Removing pubic hair"
"pli-tv-bi-vb-pc3","3. Masturbation"
"pli-tv-bi-vb-pc4","4. Using a dildo"
"pli-tv-bi-vb-pc5","5. Intimate washing"
"pli-tv-bi-vb-pc6","6. Attending on a monk"
"pli-tv-bi-vb-pc7","7. Asking for raw grain"
"pli-tv-bi-vb-pc8","8. Disposing of waste over a wall"
"pli-tv-bi-vb-pc9","9. Disposing of waste on plants"
"pli-tv-bi-vb-pc10","10. Watching entertainment"
"pli-tv-bi-vb-pc11","11. Meeting a man in the dark"
"pli-tv-bi-vb-pc12","12. Meeting a man in a concealed place"
"pli-tv-bi-vb-pc13","13. Meeting a man in the open"
"pli-tv-bi-vb-pc14","14. Meeting a man on a street"
"pli-tv-bi-vb-pc15","15. Departing without taking leave"
"pli-tv-bi-vb-pc16","16. Sitting down without permission"
"pli-tv-bi-vb-pc17","17. Putting out bedding without permission"
"pli-tv-bi-vb-pc18","18. Complaining without reflection"
"pli-tv-bi-vb-pc19","19. Cursing"
"pli-tv-bi-vb-pc20","20. Crying and beating oneself"
"pli-tv-bi-vb-pc21","21. Bathing naked"
"pli-tv-bi-vb-pc22","22. Making an oversize bathing robe"
"pli-tv-bi-vb-pc23","23. Unstitching a robe"
"pli-tv-bi-vb-pc24","24. Moving robes"
"pli-tv-bi-vb-pc25","25. Borrowing a robe"
"pli-tv-bi-vb-pc26","26. Hindering robe-cloth for the community"
"pli-tv-bi-vb-pc27","27. Blocking robe-cloth distribution"
"pli-tv-bi-vb-pc28","28. Giving a robe to a non-monastic"
"pli-tv-bi-vb-pc29","29. Letting the robe season expire"
"pli-tv-bi-vb-pc30","30. Blocking the ending of the robe season"
"pli-tv-bi-vb-pc31","31. Lying on the same bed"
"pli-tv-bi-vb-pc32","32. Lying on the same sheet"
"pli-tv-bi-vb-pc33","33. Making a nun ill at ease"
"pli-tv-bi-vb-pc34","34. Not nursing a disciple"
"pli-tv-bi-vb-pc35","35. Evicting a nun"
"pli-tv-bi-vb-pc36","36. Socializing with a householder"
"pli-tv-bi-vb-pc37","37. Wandering within the country"
"pli-tv-bi-vb-pc38","38. Wandering outside the country"
"pli-tv-bi-vb-pc39","39. Wandering during the rainy season"
"pli-tv-bi-vb-pc40","40. Not wandering after the rainy season"
"pli-tv-bi-vb-pc41","41. Visiting places of pleasure"
"pli-tv-bi-vb-pc42","42. Using luxurious furniture"
"pli-tv-bi-vb-pc43","43. Spinning yarn"
"pli-tv-bi-vb-pc44","44. Serving householders"
"pli-tv-bi-vb-pc45","45. Not resolving a legal issue"
"pli-tv-bi-vb-pc46","46. Giving food to a non-monastic"
"pli-tv-bi-vb-pc47","47. Not relinquishing a communal robe"
"pli-tv-bi-vb-pc48","48. Not relinquishing a lodging"
"pli-tv-bi-vb-pc49","49. Studying worldly subjects"
"pli-tv-bi-vb-pc50","50. Teaching worldly subjects"
"pli-tv-bi-vb-pc51","51. Entering a monks’ monastery"
"pli-tv-bi-vb-pc52","52. Abusing a monk"
"pli-tv-bi-vb-pc53","53. Reviling the community"
"pli-tv-bi-vb-pc54","54. Eating more after refusing an offer"
"pli-tv-bi-vb-pc55","55. Being stingy with families"
"pli-tv-bi-vb-pc56","56. Spending the rainy season apart from monks"
"pli-tv-bi-vb-pc57","57. Not doing the invitation ceremony"
"pli-tv-bi-vb-pc58","58. Not going to the instruction"
"pli-tv-bi-vb-pc59","59. Not seeking the instruction"
"pli-tv-bi-vb-pc60","60. Getting medical treatment from a man"
"pli-tv-bi-vb-pc61","61. Ordaining a pregnant woman"
"pli-tv-bi-vb-pc62","62. Ordaining a breastfeeding woman"
"pli-tv-bi-vb-pc63","63. Ordaining an untrained candidate"
"pli-tv-bi-vb-pc64","64. Ordaining a trained candidate without approval"
"pli-tv-bi-vb-pc65","65. Ordaining a married girl under twelve"
"pli-tv-bi-vb-pc66","66. Ordaining an untrained married girl"
"pli-tv-bi-vb-pc67","67. Ordaining a trained married girl without approval"
"pli-tv-bi-vb-pc68","68. Not guiding a disciple after ordination"
"pli-tv-bi-vb-pc69","69. Not following a mentor"
"pli-tv-bi-vb-pc70","70. Not sending away a new disciple"
"pli-tv-bi-vb-pc71","71. Ordaining an unmarried woman under twenty"
"pli-tv-bi-vb-pc72","72. Ordaining an untrained unmarried woman"
